AccX,AccY,AccZ,AngX,AngY,AngZ,class
1.22,-0.14,0.96,-21.32,-29.48,-10.03,VibracaoX
-1.01,-0.08,1.4,-20.98,-32.62,-11.87,VibracaoX
0.16,0.07,0.83,-19.95,-32.78,-10.9,Parado
0.11,-0.01,0.87,-19.81,-29.47,-11.04,Parado
-0.04,-0.03,1.09,-20.5,-28.42,-13.75,Parado
0.01,-0.02,1.04,-20.33,-28.37,-14.0,Parado
0.07,-0.05,0.97,-19.96,-29.41,-13.9,Parado
0.25,-0.08,1.05,-19.72,-29.87,-13.99,Parado
-0.01,0.0,0.99,-18.83,-28.52,-14.4,Parado
-0.05,0.04,0.91,-18.82,-29.48,-14.56,Parado
0.16,-0.03,1.0,-17.24,-28.83,-14.31,Parado
0.1,-0.05,1.0,-17.61,-28.25,-14.46,Parado
0.1,0.05,0.88,-17.07,-27.85,-14.6,Parado
0.05,-0.05,1.01,-17.5,-26.91,-14.14,Parado
0.13,0.01,0.98,-16.88,-25.55,-12.89,Parado
0.12,-0.02,0.94,-16.61,-26.05,-13.85,Parado
0.12,0.03,0.89,-16.29,-24.44,-13.76,Parado
0.0,-0.02,0.95,-16.18,-24.76,-14.28,Parado
0.09,-0.07,1.09,-16.4,-24.2,-14.38,Parado
0.09,-0.02,0.93,-16.04,-23.43,-14.18,Parado
0.1,-0.03,0.99,-15.85,-22.72,-13.97,Parado
0.05,-0.02,1.0,-15.46,-22.53,-14.23,Parado
0.05,-0.03,0.99,-15.19,-22.67,-14.23,Parado
0.14,-0.0,0.91,-15.11,-21.78,-13.92,Parado
0.06,-0.01,0.94,-15.15,-21.93,-14.33,Parado
0.07,-0.01,1.01,-14.79,-20.99,-14.16,Parado
0.03,0.01,0.94,-14.96,-21.67,-14.51,Parado
0.14,-0.08,1.06,-14.84,-20.19,-14.11,Parado
0.08,-0.04,1.0,-14.78,-20.78,-14.43,Parado
0.07,-0.06,1.02,-14.33,-19.97,-14.37,Parado
0.07,0.0,0.9,-14.52,-19.99,-14.54,Parado
0.11,-0.06,1.0,-13.87,-19.84,-14.51,Parado
0.09,-0.0,0.94,-13.9,-19.26,-14.38,Parado
0.1,-0.04,0.95,-13.3,-18.59,-14.3,Parado
0.07,-0.0,0.93,-13.63,-18.89,-14.77,Parado
0.09,-0.03,0.95,-13.11,-18.14,-14.7,Parado
0.06,-0.07,1.05,-13.18,-18.25,-14.96,Parado
0.15,-0.06,0.99,-12.52,-17.93,-14.78,VibracaoX
0.14,-0.04,1.02,-12.06,-17.5,-14.79,VibracaoX
0.23,-0.02,0.96,-11.59,-16.89,-15.37,VibracaoX
0.12,-0.03,0.89,-11.95,-16.09,-17.27,VibracaoX
-1.22,-0.04,1.19,-12.04,-14.07,-16.05,VibracaoX
-0.44,-0.08,0.95,-8.8,-22.77,-11.59,VibracaoX
2.88,-0.13,0.59,-6.98,-22.72,-9.55,VibracaoX
0.09,0.02,0.41,-11.11,-14.64,-16.61,VibracaoX
-2.35,-0.15,1.85,-7.87,-11.68,-12.94,VibracaoX
1.02,-0.0,0.13,-2.06,-23.79,-7.52,VibracaoX
2.7,-0.29,0.46,-1.84,-15.34,-13.55,VibracaoX
-3.02,-0.25,1.97,-9.75,-11.45,-18.86,VibracaoX
-1.34,0.32,0.53,-4.88,-19.87,-12.5,VibracaoX
3.35,0.06,0.3,-2.5,-18.41,-9.78,VibracaoX
-1.28,-0.04,0.9,-8.0,-7.81,-16.39,VibracaoX
-1.82,0.14,1.18,-3.88,-16.21,-14.11,VibracaoX
2.65,-0.19,0.61,-0.75,-17.85,-9.15,VibracaoX
0.31,0.09,0.29,-4.88,-8.52,-17.86,VibracaoX
-2.11,-0.25,1.78,-0.9,-13.85,-15.69,VibracaoX
2.32,-0.19,0.5,2.42,-17.89,-8.44,VibracaoX
0.73,-0.06,0.32,-1.54,-8.23,-19.48,VibracaoX
-2.4,-0.39,2.06,1.81,-12.92,-17.31,VibracaoX
2.76,-0.12,0.54,3.82,-16.16,-8.99,VibracaoX
0.47,-0.05,0.27,-0.46,-7.65,-16.44,VibracaoX
-2.03,-0.41,2.04,1.5,-11.22,-13.32,VibracaoX
2.44,0.12,0.33,6.48,-13.74,-5.81,VibracaoX
0.76,-0.12,0.44,1.55,-5.16,-15.94,VibracaoX
-2.51,-0.33,2.02,0.88,-8.85,-14.57,VibracaoX
2.02,-0.11,0.26,3.1,-14.13,-5.56,VibracaoX
1.09,-0.08,0.23,-1.64,-7.23,-12.57,VibracaoX
-1.49,-0.26,1.48,-6.85,-12.46,-12.62,VibracaoX
0.66,0.05,0.28,-7.66,-12.52,-7.23,VibracaoX
1.29,-0.09,0.53,-15.44,-9.18,-8.11,VibracaoX
-0.3,-0.28,0.82,-22.59,-7.34,-12.88,VibracaoX
-0.25,-0.78,1.14,-26.42,-4.31,-10.94,VibracaoX
-0.39,-0.6,1.23,-29.61,-9.01,-7.51,VibracaoX
0.29,-0.4,0.82,-26.45,-9.19,-4.61,VibracaoX
0.35,-0.46,0.97,-24.41,-10.76,-5.07,VibracaoX
-0.21,-0.25,0.75,-26.34,-9.83,-5.65,VibracaoX
-0.04,-0.31,0.79,-25.49,-6.05,-3.6,VibracaoX
-0.06,-0.36,0.76,-24.81,-6.19,-1.45,VibracaoX
-0.09,-0.55,0.84,-21.76,-8.0,4.9,VibracaoX
0.22,-0.37,0.78,-26.57,-7.96,5.09,VibracaoX
-0.07,-0.19,0.62,-23.66,-0.99,5.14,VibracaoX
-0.48,-0.48,1.11,-25.59,0.97,3.68,VibracaoX
-0.15,-0.35,0.97,-26.49,1.24,3.85,VibracaoX
-0.07,-0.42,0.83,-27.1,5.22,5.31,VibracaoX
-0.14,-0.73,1.01,-26.77,6.56,7.97,VibracaoX
-0.15,-0.48,0.8,-26.33,6.63,9.55,VibracaoX
-0.17,-0.41,0.69,-26.0,6.8,10.1,VibracaoX
0.25,-0.69,0.84,-20.64,13.47,8.15,VibracaoX
-0.68,-0.32,0.94,-16.79,19.65,7.08,VibracaoX
-0.56,-0.29,0.71,-20.94,17.94,4.58,VibracaoX
-0.16,-0.43,0.69,-25.36,16.92,2.19,VibracaoX
-0.22,-0.72,0.82,-32.81,11.67,-0.92,VibracaoX
-0.28,-0.87,0.83,-31.71,12.31,3.07,VibracaoX
-0.32,-0.72,0.73,-27.35,11.45,5.61,VibracaoX
-0.26,-0.42,0.9,-23.24,6.8,7.69,VibracaoX
-0.1,-0.5,0.75,-13.35,13.13,9.14,VibracaoX
-0.49,0.14,0.85,-11.87,11.09,11.45,VibracaoX
-0.21,-0.33,0.91,-8.61,12.13,8.97,VibracaoX
-0.17,-0.25,0.9,-9.81,4.7,8.92,VibracaoX
-0.04,-0.24,0.81,-11.33,5.56,7.34,VibracaoX
-0.13,-0.15,0.89,-10.44,14.42,6.29,VibracaoX
-0.36,-0.23,0.96,-12.74,20.74,7.05,VibracaoX
-0.49,-0.33,0.75,-13.23,24.31,4.92,VibracaoX
-0.54,-0.34,0.91,-14.4,22.05,3.85,VibracaoX
-0.35,-0.4,0.79,-16.0,19.73,3.1,VibracaoX
-0.31,-0.34,0.78,-16.85,19.11,2.17,VibracaoX
-0.3,-0.41,0.79,-17.41,18.47,1.77,VibracaoX
-0.35,-0.39,0.84,-17.68,18.3,1.64,Parado
-0.34,-0.39,0.81,-17.96,18.34,1.56,Parado
-0.33,-0.39,0.81,-18.26,18.36,1.47,Parado
-0.33,-0.4,0.82,-18.48,18.35,1.41,Parado
-0.33,-0.41,0.82,-18.73,18.39,1.36,Parado
-0.33,-0.4,0.82,-19.03,18.47,1.3,Parado
-0.33,-0.4,0.81,-19.28,18.54,1.26,Parado
-0.33,-0.4,0.82,-19.52,18.52,1.2,Parado
-0.33,-0.41,0.82,-19.76,18.48,1.18,Parado
-0.33,-0.4,0.81,-19.93,18.49,1.2,Parado
-0.33,-0.42,0.82,-20.22,18.41,1.14,Parado
-0.33,-0.42,0.82,-20.48,18.31,1.11,Parado
-0.32,-0.42,0.82,-20.74,18.27,1.02,Parado
-0.32,-0.42,0.82,-21.04,18.19,1.0,Parado
-0.32,-0.42,0.81,-21.35,18.47,0.86,Parado
-0.32,-0.43,0.81,-21.58,18.5,0.56,Parado
-0.31,-0.42,0.81,-21.72,17.99,0.27,Parado
-0.3,-0.42,0.8,-21.93,18.36,0.14,Parado
-0.32,-0.42,0.83,-22.14,18.19,-0.03,Parado
-0.31,-0.44,0.82,-22.37,17.86,-0.1,Parado
-0.31,-0.44,0.81,-22.48,17.99,-0.14,Parado
-0.3,-0.43,0.82,-22.7,17.84,-0.15,Parado
-0.3,-0.42,0.82,-22.81,17.89,-0.17,Parado
-0.31,-0.44,0.82,-22.94,17.84,-0.18,Parado
-0.3,-0.43,0.82,-23.08,17.76,-0.2,Parado
-0.29,-0.43,0.82,-23.3,17.61,-0.18,Parado
-0.3,-0.42,0.81,-23.43,17.69,-0.19,Parado
-0.29,-0.44,0.81,-23.57,17.68,-0.2,Parado
-0.3,-0.43,0.82,-23.72,17.67,-0.21,Parado
-0.3,-0.42,0.82,-23.86,17.66,-0.25,Parado
-0.29,-0.43,0.8,-24.03,17.66,-0.22,Parado
-0.3,-0.43,0.81,-24.13,17.65,-0.21,Parado
-0.3,-0.43,0.81,-24.24,17.67,-0.22,Parado
-0.3,-0.44,0.82,-24.42,17.64,-0.24,Parado
-0.3,-0.43,0.81,-24.62,17.59,-0.25,Parado
