AccX,AccY,AccZ,AngX,AngY,AngZ,class
0.14,-0.08,0.95,-6.67,-5.52,0.04,Parado
0.15,-0.08,0.95,-6.68,-5.57,0.06,Parado
0.13,-0.08,0.95,-6.72,-5.58,0.05,Parado
0.14,-0.08,0.95,-6.75,-5.65,0.07,Parado
0.14,-0.08,0.96,-6.77,-5.68,0.09,Parado
0.16,-0.08,0.98,-6.84,-5.74,0.11,Parado
0.13,-0.07,0.95,-6.82,-5.78,0.11,Parado
0.14,-0.07,0.97,-6.87,-5.85,0.12,Parado
0.15,-0.08,0.95,-6.92,-5.88,0.15,Parado
0.15,-0.07,0.95,-6.97,-5.94,0.15,Parado
0.13,-0.07,0.96,-6.97,-5.96,0.16,Parado
0.14,-0.08,0.96,-7.02,-5.98,0.18,Parado
0.14,-0.08,0.96,-7.02,-6.0,0.19,Parado
0.14,-0.08,0.98,-7.06,-6.04,0.2,Parado
0.14,-0.08,0.96,-7.08,-6.07,0.21,Parado
0.14,-0.08,0.96,-7.08,-6.1,0.23,Parado
0.14,-0.07,0.96,-7.1,-6.14,0.24,Parado
0.14,-0.08,0.96,-7.13,-6.16,0.25,Parado
0.14,-0.08,0.96,-7.13,-6.18,0.26,Parado
0.14,-0.08,0.96,-7.15,-6.22,0.29,Parado
0.13,-0.07,0.97,-7.19,-6.22,0.3,Parado
0.13,-0.08,0.97,-7.22,-6.24,0.31,Parado
0.14,-0.08,0.96,-7.24,-6.25,0.33,Parado
0.14,-0.07,0.97,-7.27,-6.27,0.34,Parado
0.14,-0.08,0.96,-7.3,-6.28,0.34,Parado
0.15,-0.08,0.96,-7.32,-6.31,0.36,Parado
0.14,-0.08,0.97,-7.31,-6.35,0.37,Parado
0.14,-0.07,0.96,-7.34,-6.36,0.39,Parado
0.14,-0.08,0.96,-7.38,-6.38,0.39,Parado
0.14,-0.07,0.95,-7.35,-6.41,0.39,Parado
0.14,-0.08,0.96,-7.36,-6.44,0.39,Parado
0.14,-0.07,0.97,-7.39,-6.44,0.42,Parado
0.14,-0.08,0.97,-7.42,-6.48,0.43,Parado
0.14,-0.08,0.96,-7.46,-6.48,0.4,Parado
0.14,-0.07,0.97,-7.48,-6.5,0.38,Parado
0.16,-0.08,0.97,-7.5,-6.54,0.38,Parado
0.14,-0.08,0.96,-7.54,-6.57,0.39,Parado
0.15,-0.08,0.97,-7.56,-6.59,0.4,Parado
0.14,-0.08,0.96,-7.58,-6.62,0.4,Parado
0.14,-0.08,0.96,-7.61,-6.64,0.42,Parado
0.15,-0.08,0.96,-7.61,-6.65,0.44,Parado
0.14,-0.08,0.96,-7.6,-6.68,0.44,Parado
0.14,-0.08,0.96,-7.63,-6.68,0.46,Parado
0.14,-0.08,0.96,-7.63,-6.69,0.47,Parado
0.14,-0.08,0.95,-7.63,-6.7,0.48,Parado
0.14,-0.07,0.96,-7.63,-6.72,0.5,Parado
0.14,-0.08,0.96,-7.64,-6.72,0.51,Parado
0.15,-0.08,0.95,-7.64,-6.74,0.53,Parado
0.15,-0.07,0.97,-7.62,-6.77,0.55,Parado
0.14,-0.08,0.96,-7.66,-6.78,0.56,Parado
0.14,-0.08,0.95,-7.66,-6.79,0.57,Parado
0.15,-0.08,0.97,-7.67,-6.8,0.58,Parado
0.14,-0.08,0.96,-7.67,-6.8,0.6,Parado
0.14,-0.07,0.96,-7.68,-6.8,0.62,Parado
0.14,-0.08,0.96,-7.7,-6.8,0.62,Parado
0.14,-0.08,0.96,-7.7,-6.81,0.64,Parado
0.14,-0.08,0.97,-7.7,-6.83,0.64,Parado
0.14,-0.08,0.96,-7.71,-6.82,0.65,Parado
0.14,-0.07,0.95,-7.7,-6.83,0.67,Parado
0.14,-0.07,0.97,-7.69,-6.84,0.68,Parado
0.14,-0.07,0.95,-7.71,-6.84,0.7,Parado
0.13,-0.07,0.99,-7.74,-6.84,0.7,Parado
